Video_Name,Channel_Name
HOW TO MAKE LEMON BUTTER CHICKEN WINGS,Joy Eseyin
A PRODUCTIVE day in my life,Joy Eseyin
"20's Diaries | Clean/Reset with me, WHY ARE WIGS SO EXPENSIVE!? New braids | Productive Vlog",Joy Eseyin
It was so hard finding a perfect song for this video so y'all would have to take this one... sjskjsk,Joy Eseyin
Unboxing my BTS book (Beyond the story) | Vlog,Joy Eseyin
Get ready with me for an outing #grwm,Joy Eseyin
"Life lately | dealing with anxiety, my fav musical band |... 20's Diaries | Abuja VLOG",Joy Eseyin
"the concept of money is weird - boring weeks in abuja, shopping, new bookshelf?!",Joy Eseyin
"Abuja â€œProductiveâ€ Vlog | MY NEIGHBORS HATE ME, skincare updates, meal prep, unboxing FACE album",Joy Eseyin
Productive week in my life | Abuja living,Joy Eseyin
Made my fav banana smoothie before editing | Having a productive dayðŸ¥³,Joy Eseyin
My mini room makeover  | Clean and re-decorate with me * pinterest inspired,Joy Eseyin
I got new and different skincare products and decided to try them out | GRWM Morning Routine,Joy Eseyin
"20's Diaries | I'm tired of reading books, new skincare products, unboxing, and new braids",Joy Eseyin
Trying 2 different SHEA BUTTER CONDITIONER on my 4C natural hair,Joy Eseyin
"Birthday vlog | Get ready with me for my birthday, abuja museum visit, birthday depression",Joy Eseyin
I'm quitting YouTube?!?!! + making popcorn for the first time + back to work + weekly vlog,Joy Eseyin
"i quit social media for 48hours, made cinnamon tea, healthy living | chaotic vlog",Joy Eseyin
Make breakfast Pineapple SMOOTHIE with me,Joy Eseyin
A PRODUCTIVE WEEK IN MY LIFE + I made SMOOTHIE for the first time + New BRAIDS + What I EAT in a day,Joy Eseyin
LIVING IN ABUJA VLOG + Treating malaria + organising my wardrobe + plans for 2023 + VLOG#7,Joy Eseyin
CHRISTMAS VLOG + No hype for Christmas this year + Christmas jollof + Chaotic + We made ZOBO VLOG#6,Joy Eseyin
WEEKLY VLOG + Tried Making Toast + Indigo by RM + Period Cramps are unnecessary + #VLOG5,Joy Eseyin
WEEKLY VLOG + I  went shopping in ABUJA + GRWM + Movie Date(BLACK PANTHER) + VLOG #4,Joy Eseyin
SUNDAY RESET (Calm and relaxing),Joy Eseyin
WHAT I EAT IN A DAY ( Healthy NIGERIAN meal),Joy Eseyin
I cut my HAIR (ft my sister)...,Joy Eseyin
I Changed my Relaxed 4C Hair to Natural - VLOG #3,Joy Eseyin
I went to see THOR... it was below my expectation - VLOG #2,Joy Eseyin
My First Youtube Vlog - VLOG #1,Joy Eseyin
I'm Finally on Youtube! Trailer... Intro,Answer in Progress
why you are so tired,Answer in Progress
why the internet got boring,Answer in Progress
"you might be using your knife wrong, here's why",kaavikiwi
natural glam makeup for fall ðŸ‚âœ¨  (brown girl friendly tutorial),kaavikiwi
upgrade my kittyâ€™s space with me ðŸ©· @happyandpolly,kaavikiwi
trying NORTH CAROLINA fast food??? ðŸ¥¤ðŸ—â­ï¸,kaavikiwi
Maddy Subramanian âœ¨,kaavikiwi
TRYING ON FASHION NOVA HALLOWEEN COSTUMES!! *not what I was expectingâ€¦.* ðŸŽƒ âœ¨,Answer in Progress
where did all the bubble wrap go?,Answer in Progress
how soap sells a myth,kaavikiwi
life as a creator âœ¨ work trips to new york city & denver (starting my luxury travel content career),kaavikiwi
light makeup for a travel day âœˆï¸,kaavikiwi
highly recommend a spontaneous weekend to a city near you ðŸ¤ª,kaavikiwi
THIS girls night will solve all your problems ðŸ§–ðŸ¾â€â™€ï¸ðŸŽ€,kaavikiwi
might be the most perfect fall lip product EVER.,Answer in Progress
i made every pasta shape to prove a point,Answer in Progress
why ice baths are the latest cult,Answer in Progress
why AI can't pass this test,Answer in Progress
the real thing you learn at univeristy,Answer in Progress
"POV: you recite 3,141 of pi",Answer in Progress
i hate cutting pies,Answer in Progress
"i memorized 3,141 digits of pi to prove a point",Answer in Progress
how i made friends using cardboard,Answer in Progress
"i memorized 3,141 digits of pi",Answer in Progress
asking cars if they love public transit,Answer in Progress
i wanted to do everything when i grew up,Answer in Progress
why america is addicted to cars,Answer in Progress
i opened a bean restaurant (to prove a point),Answer in Progress
why podcasts are about to change,kaavikiwi
the only blush video youâ€™ll ever need.,kaavikiwi
everybody is sad sometimes,Answer in Progress
"the entire history of the youtube algorithm, i guess",Answer in Progress
is your neighbour real?,kaavikiwi
"the viral LATTE MAKEUP TREND â˜•ï¸ ðŸ¤Ž Q&A with TEA,  brown girl / melanin friendly makeup tutorial",kaavikiwi
the new viral lip combo EVERY GIRL NEEDS.,kaavikiwi
GRWM in a language youâ€™ve never heard before: TAMLISH (tamil + English) ðŸ˜‚ðŸ˜‚,kaavikiwi
what a day in the life of a content creator living in LA looks like:,kaavikiwi
THIS is the perfect summer girlâ€™s night idea âœ¨ðŸ«¶ðŸ¾,kaavikiwi
"I GOT A CAT! everything I wish I knew before, automatic litterbox review, feeding routine",kaavikiwi
the post-summer hair tip we ALL need ðŸ’‡ðŸ¾â€â™€ï¸âœ¨,kaavikiwi
THIS is what you should be asking your hairdresser for âœ¨ðŸ’…ðŸ¾,Answer in Progress
i raced an AI to learn parkour,Answer in Progress
why tolerating lactose is weird,Answer in Progress
why canadians drink bagged milk,Answer in Progress
i forgot i was enrolled in a class,Answer in Progress
why can't AI draw hands,Answer in Progress
i hated intro to programming,Answer in Progress
i trained to eat the worldâ€™s hottest pepper,Answer in Progress
why Japan's internet is weirdly designed,Answer in Progress
why smart people write bad,kaavikiwi
I RECREATED BARBIEâ€™S MAKEUP ROUTINE | brown girl friendly!,kaavikiwi
GRWM: brown barbie editionðŸŽ€ðŸ©·ðŸ’…ðŸ¾,kaavikiwi
JAMAICA,kaavikiwi
quickest way to ruin an immigrant daughterâ€™s day ðŸ¤ª,kaavikiwi
brown girl tries famous LA Indian restaurant ðŸ¤”,kaavikiwi
how my Tamil family acts in the Caribbean âœ¨ðŸ‘€,Answer in Progress
"your city is full of fake buildings, here's why",Answer in Progress
"why it took 200,000 years to invent the wheel",Answer in Progress
why NYCâ€™s $1 pizza tastes so good,Answer in Progress
how cameras hurt your memory,Answer in Progress
how fahrenheit fails you,Answer in Progress
i read 700 years of history to fix my glasses,Answer in Progress
i cooked every type of garlic (ft. Erwan Heussaff),Answer in Progress
don't watch this if youâ€™re avoiding work,Answer in Progress
how quitting your job makes you money,Answer in Progress
why you can't buy this notebook,Answer in Progress
the hidden cost of good service (from an ex-waitress),Answer in Progress
inside the world of mechanical keyboards,Answer in Progress
why you stopped reading,Answer in Progress
how we almost quit,Answer in Progress
how to get good last-minute christmas gifts,Answer in Progress
why do people hate math,Answer in Progress
"my package was ""delayed"" so i tracked it down",Answer in Progress
how work destroys your sleep,Answer in Progress
i quit coffee for 30 days (and it ruined my life),Answer in Progress
why your resume gets auto-rejected,Answer in Progress
i did art fraud to prove a point,Answer in Progress
what mindless scrolling does to you,Answer in Progress
i tried 5 types of water (to find the best one),Answer in Progress
why you hate learning,Answer in Progress
why you love your houseplants,Answer in Progress
i taught an AI to solve the trolley problem,kaavikiwi
THIS is the secret to having flawless makeup in every photo ðŸ’…ðŸ¾âœ¨,kaavikiwi
@kaaviyakitchen making a starbucks breakfast at home? easier than you think ðŸ˜‹,kaavikiwi
I LOVE THIS QUESTION âœ¨ðŸ’…ðŸ¾,kaavikiwi
the subtle art of noticing.,kaavikiwi
this is what the IDEALâœ¨girl dayâœ¨ looks like to me.,kaavikiwi
foreign daughters continuing their parentsâ€™ traditions is the most wholesome thing ðŸ¥¹âœ¨,kaavikiwi
"THIS is the cheat code to having a magnetic, blessed aura",Answer in Progress
why eating local isn't always eco friendly,Answer in Progress
why bad posture isnt that bad,Answer in Progress
the science behind lofi music,Answer in Progress
i tried 5 types of minimalism,Answer in Progress
why entry level jobs aren't entry level,Answer in Progress
why small talk sucks,Answer in Progress
how dating apps keep you single,Answer in Progress
why you canâ€™t stay organized (ft. AmandaRachLee),Answer in Progress
we committed olive oil fraud,kaavikiwi
how to prepare for a PHOTOSHOOT! tips from an LA modelðŸ©·,kaavikiwi
this religion has a 9 day GIRL POWER festival?? âœ¨,kaavikiwi
"FALL VLOG ðŸ‚ ft. MAJOR life update, fall routines & habits, birthday parties, photoshoots, and more",Answer in Progress
Is Fancy Food Accessible?,Answer in Progress
Why Semicolons are Hard to Use (ft. Tom Scott),Answer in Progress
Why Your Parents Suck at Texting,Answer in Progress
Can you read graphs? Because I can't.,kaavikiwi
the highlight palette every brown girl NEEDSâ€¦.,kaavikiwi
outfit inspo for your 2023 tropical summer vacation ðŸŒ´ðŸŒºðŸ©µ,kaavikiwi
grow longer hair with this post-shower ayurvedic routine! ðŸŒº ðŸ¯ðŸŒ± âœ¨,Answer in Progress
Can We Calculate Fear?,Answer in Progress
wHeRe ArE yOu ReALLy FrOm?Â¿?,Answer in Progress
An Answer in Progress,Answer in Progress
How Conspiracies Work,Answer in Progress
I taught an AI to stan BTS,Answer in Progress
What Wine Experts Mean,Answer in Progress
The Sourtoe Cocktail | A Short Documentary,Answer in Progress
The Real Reason Ice Is Slippery,kaavikiwi
this is your sign to give quality time to YOURSELF ðŸŽ¨ðŸ¤,kaavikiwi
prioritizing CALM at night makes a difference ðŸŒ™,kaavikiwi
Kendall Jenner if she had a $10 budget ðŸ¤ª,kaavikiwi
cozy dinner outfit inspo ðŸðŸ·ðŸ´,Answer in Progress
I taught an AI to make pasta,Answer in Progress
How Long Can You Be Alone?,kaavikiwi
huge yesstyle haul &: current asian skincare faves WITH reviews! (viral k-beauty picks!),Answer in Progress
Why Do Crimes Expire?,Answer in Progress
Fish Fraud is a Real Thing and it's WEIRD.,Answer in Progress
"the SAT doesn't work, here's why we still use it",Answer in Progress
I try to get a world record.,kaavikiwi
matte red lip but make it brown girl friendly ðŸ’‹ðŸ«¶ðŸ¾ðŸ’Œ,kaavikiwi
the rule is to SERVE wherever you go ðŸ¥¡ðŸ’‹,kaavikiwi
the wet skin look: no makeup makeup ðŸ©µ,kaavikiwi
"pack + prep with me for JAMAICA! Fashion Nova Haul, styling  colorful outfits, trendy 2023 swimwear",kaavikiwi
THIS is one of the best parts of summer ðŸ˜±âœ¨,kaavikiwi
try a pinterest hairstyle with me: vacation edition ðŸŒ´âœ¨,kaavikiwi
trying pinterest hair & getting ready for a day in Jamaica ðŸŒ´,kaavikiwi
EXPOSED: toxic behaviors in the Desi community ðŸ¤¢ someone had to say it!,kaavikiwi
"SUMMER MAKEUP ROUTINE | natural, dewy look for pool & beach day ðŸï¸*brown girl friendly*",kaavikiwi
how to bake for your kitty ðŸ±âœ¨,kaavikiwi
grwm to go hike in the california wilderness at night ðŸ˜­,kaavikiwi
letting my cat do my makeup.,kaavikiwi
how I got pink AirPod maxes for $12 ðŸ˜±ðŸ©·,kaavikiwi
the high fiber breakfast that will keep you snatched this summer â˜€ï¸âœ¨ðŸŽ,kaavikiwi
"SUMMER SKIN ROUTINE | how to get glowing, glass skin & the *best* brown girl friendly sunscreen",kaavikiwi
tired of your blowouts falling out? try this hack! âœ¨,kaavikiwi
help me pick an outfit and get ready for a dinner date in LAâ€¦. ðŸ¥˜âœ¨,kaavikiwi
brown girl tries being Princess Belle for a day ðŸŒ¹ðŸ¤¨,kaavikiwi
morning in my life as a content creator and model in LA âœ¨ðŸŽ€,kaavikiwi
coquette decor for $11 on Amazon âœ¨ ðŸ¦¢ ðŸŽ€ #amazondecor #coquetteaesthetic,kaavikiwi
if you have hyperpigmentation try THIS routine! ðŸš¿ðŸ§–ðŸ¾â€â™€ï¸ðŸ«§ #hyperpigmentation #showerroutine,kaavikiwi
do THIS for the ultimate hot girl summer! ðŸ¥µðŸ’…ðŸ¾âœ¨,kaavikiwi
brown girl tries madison beerâ€™s makeupâ€¦. ðŸ˜±,kaavikiwi
TOP SHOES EVERY GIRL NEEDS | summer wardrobe essentials (affordable Fashion Nova haul),kaavikiwi
the biggest influencer in LA is Tamil Nadu ðŸ˜‚,kaavikiwi
"preppy, old money core summer outfit inspo ðŸ›¥ï¸ âš“ï¸ ðŸ¦ž",kaavikiwi
cowgirl core summer outfit inspo ðŸ¤  ðŸŒ¾ðŸ®ðŸ«¶ðŸ¾,kaavikiwi
diy mermaid core birthday cake ðŸ«§ðŸš,kaavikiwi
natural summer makeup look for brown skin ðŸ«¶ðŸ¾,kaavikiwi
asmr morning routine ðŸ§¸â˜•ï¸,kaavikiwi
day in my life as a content creator in LA â˜€ï¸ ðŸŒ· ðŸ’…ðŸ¾,kaavikiwi
"HAIR GROWTH SECRETS / weekly natural routine for long, healthy, shiny hair FAST ðŸª´ðŸ¤Ž",kaavikiwi
glowing up so I can stop feeling emo ðŸ¥²,kaavikiwi
"EASY DAYTIME SMOKEY EYE | best makeup for dark eyes, brown girl friendly!",kaavikiwi
dark daytime glam | brown girl friendly makeup look,kaavikiwi
brown girl friendly makeup / acne prone skin edition,kaavikiwi
natural soft glam routine ðŸŒ¸ #melaninfriendly #makeuptutorial,kaavikiwi
natural cat eye glam ðŸˆâ€â¬›âœ¨,kaavikiwi
ten minute holiday treat ideas!,kaavikiwi
trying viral â€œsnatchedâ€ jumpsuits + rompers | a very honest Fashion Nova haul!,kaavikiwi
one piece outfits that can be worn all year long! ðŸ¤,kaavikiwi
Natural Indian Hair Growth Mask ðŸª´âœ¨,kaavikiwi
"MY FAVORITE LIP COMBOS | step by step walkthrough, BEST natural shades + products for melanin skin",kaavikiwi
Rose Falooda with Bobaâ€¦ The Perfect Spring Treat! ðŸ‡®ðŸ‡³ðŸŒ¹ðŸ¦ðŸŒ¸ðŸ’,kaavikiwi
"how to take SLAY pics of yourself (cameras I use, lighting tricks,posing tips, editing apps & MORE!)",kaavikiwi
"honey garlic salmon for hot girls / easy, healthy weeknight dinner idea - step by step",kaavikiwi
"glowing up so I can have a Valentine? melanin friendly makeup routine, flirty angel glam, glowy skin",kaavikiwi
some CARGO PANTS INSPO for your aesthetic era. (ft. FashionNova),kaavikiwi
trying Amazonâ€™s BEST skims dupe! PUMIEY try-on haul,kaavikiwi
how to do your makeup like a filter,kaavikiwi
haircare tips ft. my new BANGSâ€¦ ft. my go-to *easy* hairstyles,kaavikiwi
the life you want is easy to get.,kaavikiwi
"MY BODY HAIR ROUTINE | FULL BODY tips for hyperpigmentation, softer skin, & no ingrowns",kaavikiwi
"curly hair turorial: wet, mermaid look ðŸ§œâ€â™€ï¸âœ¨",kaavikiwi
kiwiâ€™s kitchen: shakshouka âœ¨,kaavikiwi
air fryer eggplant parm ðŸ† ðŸ #healthydinnerideas,kaavikiwi
glowing from within makeup ðŸŒŸ #melaninfriendly,kaavikiwi
90s supermodel makeup in under ten minutes ðŸ’…ðŸ¾âœ¨,kaavikiwi
the *cutest* pjs and loungewear! FashionNova try-on haul,kaavikiwi
hot girls donâ€™t gatekeep âœ¨,kaavikiwi
â€œiâ€™m coldâ€ makeup but make it melanin friendly â„ï¸,kaavikiwi
Five Minute Natural Makeup ðŸŒ¸,kaavikiwi
"HOLIDAY PARTY GLAM MAKEUP LOOK / glowing skin, flawless photo finish, baddie vibes, melanin friendly",kaavikiwi
"DIY hair mask for MASSIVE HAIR GROWTH! get longer, shinier, softer hair AT HOME  :)",kaavikiwi
BLOWOUT ON NATURAL HAIR | curly to straight tutorial using revlon (beginner friendly!),kaavikiwi
so I had an eating disorder for 10 years.,kaavikiwi
"KOREAN SKINCARE ROUTINE | the secret to glazed, glass, supermodel skin! (melanin friendly)",kaavikiwi
turning myself into THAT ONE SCENE. red princess jasmine makeup tutorial | melanin friendly,kaavikiwi
Clean Girl Makeup Look ðŸ«§,kaavikiwi
INDIAN GODDESS | Natural Makeup Look,kaavikiwi
Try on a bunch of REVOLVE clothes with me. transitional fall/winter haul â„ï¸âœ¨ðŸ¤,kaavikiwi
"HOW I HEALED MY SKIN âœ¨Tips for Dark Spots, Hyperpigmentation, Fading Acne Scars",kaavikiwi
"turning myself into princess jasmine | brown girl Halloween ideas, spilling the TEA, makeup routine",kaavikiwi
"INDIAN HAIR GROWTH SECRETS / my weekly Ayurvedic routine for long, healthy, shiny hair FASTðŸª´ðŸ¤Ž",kaavikiwi
trying the SKIMS bodysuit dupe from AMAZON (PUMIEY)..... HONEST REVIEW + TRY-ON HAUL,kaavikiwi
"taking myself on a date: EP. 1 ðŸ’hot girl walks, morning on the beach, thrifting, nice dinner",kaavikiwi
"MODEL HOURGLASS ABS âŒ›ï¸ AT HOME / no equipment, beginner friendly, cinched waist routine",kaavikiwi
"HALLOWEEN BADDIE MAKEUP ðŸ˜ˆðŸ’…ðŸ¾âœ¨| wearable, melanin friendly, glowy, cartoon cosplay look",kaavikiwi
"soft fall glam makeup look 2022 | MELANIN FRIENDLY, GLAZED SKIN, MAPLE LIPS, BRONZE GLOW",kaavikiwi
SKINCARE ROUTINE | MELANIN FRIENDLY! HOW I CLEARED HORMONAL ACNE & HYPERPIGMENTATION âœ¨,kaavikiwi
SHOWER + BODYCARE ROUTINE  | MELANIN FRIENDLY! GLOWY SKIN + FEMININE TIPS + HYPERPIGMENTATION,kaavikiwi
BASICS + SKIMS DUPES try on haul... HONEST REVIEW,kaavikiwi
"SUMMER MAKEUP ROUTINE // soft bollywood glam, glowy skin, brown girl friendly, fave summer products",kaavikiwi
summer TRY ON haul // princess polly (discount code included!),kaavikiwi
"SUMMER MAKEUP ROUTINE // glowy skin, brown girl friendly, fave new products for summer!",kaavikiwi
roadtrip w your favorite Tamil family (:,kaavikiwi
"TGP Episode 9 // Spring Flowers: Finding Support, Stability, and Reassurance during Change",kaavikiwi
how to look hot with glasses on,kaavikiwi
GRWM // brown girl friendly vday makeup,kaavikiwi
"wknd in my life // anncy being an aquarius, huge revolve haul, photoshoot bts, sunday errands",kaavikiwi
"Q+A // bake strawberry scones with me, my love life, how I started modeling, dealing with judgement",kaavikiwi
"$2000 REVOLVE try-on haul 2021 // fall + winter faves, street style inspired, holiday fits",kaavikiwi
"day in my life // castings, self-shoots, self-care day",kaavikiwi
"day in the life // events in LA, beach photoshoot, taking digitals",kaavikiwi
"nyfw vlog // revolve gallery, exploring the city, content creating, visiting college friends",kaavikiwi
"trader joeâ€™s haul for one person // healthy grocery list, what I eat in a week",kaavikiwi
"weekend in my life // moving to los angeles, nyfw prep, revolve haul",kaavikiwi
GRWM // aishwarya rai makeup (brown girl friendly!),kaavikiwi
"college day in my life // zoom class, mini revolve haul, voting, podcasting",kaavikiwi
"decorate with me for fall 2020! // simple, affordable, minimalist, cozy",kaavikiwi
GRWM // brown girl friendly makeup,kaavikiwi
"Q+A // getting ready for fall, productivity, new podcast",kaavikiwi
"haircare routine // the secret to silky, long hair",Hallie
"If Iâ€™m ootdâ€™ing, weâ€™re all ootdâ€™ing",Hallie
Click like Adam Sandler,Hallie
What ur mother doesnâ€™t tell u about BUZZCUTS | 1 yr growth | pictures + styling tips,Hallie
"Dear Neptune, not again",Hallie
Crying at work,Hallie
crying at work,Hallie
Happy girls happy world,Hallie
Guess Whoâ€™s a genius (my sisters),Hallie
Target audience for real,Hallie
I Work Where You Vacation - 5am Shift - Florida Keys,Hallie
Thank gosh itâ€™s â€œfridayâ€,Hallie
How To Style: New Balance 550's | Mostly Thrifted | Outfits of the Week,Hallie
A trip down Love Lane while 1989â€™ing (Taylorâ€™s Version) #crush #taylorswift,Hallie
A trip down Love Lane while 1989â€™ing (Taylorâ€™s Version) #crush #taylorswift,Hallie
IDIOTâ€™S REACT : 1989 TAYLORâ€™S VERSION,Hallie
Momâ€™s not sorry #spotify #playlist,Hallie
Momâ€™s Spotify ON REPEAT Playlist,Hallie
Didnâ€™t have time to make a new short today & nobody saw this one yesterday so #recycle #reuse #ranch,Hallie
"You donâ€™t even need clippers, all u need is this song #buzzcut #haircut",Hallie
Blue-Bald Man Group #buzzcut #bald,Hallie
Be your own MCM #haircut #diy,Hallie
Why didnâ€™t anyone tell me  #buzzcut #haircut #hairgrowth,Hallie
Tips from a girl who shouldnâ€™t have buzzed her head,Hallie
Why I went bald,Hallie
EVERYTHING is big enough for the both of us,Hallie
"ringtone Vs. ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",Hallie
An abundance of meâ€™s in 2022,Hallie
iPhone games with Andrew,Hallie
Precious cargo,Hallie
Breastfeeding my digital footprint,Hallie
This is what grown ups do,Hallie
My first tattoo,Hallie
Iâ€™m a bit of a semi-truck myself,Hallie
Zack lost his hearing after this,Hallie
Taco Bell nightshift heroâ€™s,Hallie
Pen15 & bao buns,Hallie
I need this song deleted off the inter-web,Hallie
"Shaving my head, do what I dare",Hallie
How to be a conventional thot,Hallie
Letâ€™s go Swifties,Hallie
I shouldâ€™ve asked him what flavor I was,Hallie
Alanis Morissette concert fit check,Hallie
A scary surprise. Surprise!,Hallie
I love(d) college,Hallie
Graduation is all about (not) having class,Hallie
Ked sneaker sandal is the only was to sass at graduation,Hallie
All this for a piece of paper,Hallie
Iâ€™ll miss college,Hallie
Lizzie McGuire dreams,Hallie
"10 years of long hair, 5 seconds of chopping",Hallie
Moments like these are my Grammyâ€™s,Hallie
"And as if on cue, here they come",Hallie
Shoulda coulda woulda,Hallie
$FREE$ One Woman Show,Hallie
How to: Style your quarantine bangs while losing your mind in quarantine,Hallie
Hallie's Introduction Video,Hallie
what HARVARD students are ACTUALLY wearing,Hallie
HAND ME DOWN HAUL | GRANDPA'S CLOTHES,Hallie
DIY: MY CUSTOM SHOES,Hallie
FOLLOW THE FLOATING ANIMALS,Hallie
WHOLE FOODS VEGAN GOODIES,Hallie
DIY T-SHIRT TO BAG NO SEW | DAY 7,Hallie
SPACE GIRL MAKEUP TUTORIAL | DAY 6,Hallie
VEGAN HOOTERS WING'S | DAY 5,Hallie
CAUGHT BY THE FEDS | DAY 4,Hallie
A WEEK IN A CABIN | DAY 3,Hallie
SIMPLE VEGAN PIZZA | DAY 2,Hallie
30 DAY CHALLENGE | DAY 1,Hallie
WHAT I EAT IN A DAY | VEGAN,Hallie
PEACEFUL  SUNRISE,Hallie
SWEATER PARTY,Hallie
WHAT I EAT IN DAY | VEGAN,Hallie
6 YEAR OLD PRO SKATEBOARDER,Hallie
WARPED TOUR EXPERIENCE,Hallie
WYNWOOD WALLS,Hallie
ROAD TRIP (PITSTOPS),Hallie
ACT MY AGE,Hallie
WHAT IS MATURITY?,Hallie
NIKON TAKES GEORGIA,Hallie
DIY: HOT GLUE GUN CRAYON ART,Hallie
Shawn Mendes - Life Of The Party (Official Music Video),Hallie
pEnNy BoArDiNg,
